english_singular_masculine,english_singular_feminine,english_plural_masculine,english_plural_feminine,spanish_singular_masculine,spanish_singular_feminine,spanish_plural_masculine,spanish_plural_feminine
teacher (m),teacher (f),teachers (m),teachers (f),el profesor (el maestro),la profesora (la maestra),los profesores (los maestros),las profesoras (las maestros)
doctor (m),doctor (f),doctors (m),doctors (f),el médico,la médica,los médicos,las médicas
waiter,waitress,waiters,waitresses,el camarero,la camarera,los camareros,las camareras
actor,actress,actors,actresses,el actor,la actriz,los actores,las actrices
worker (m),worker (f),workers (m),workers (f),el trabajador,la trabajadora,los trabajadores,las trabajadoras
tourist (m),tourist (f),tourists (m),tourists (f),el turista,la turista,los turistas,las turistas
king,queen,kings,queens,el rey,la reina,los reyes,las reinas
duke,duchess,dukes,duchesses,el duque,la duquesa,los duques,las duquesas
student (m),student (f),students (m),students (f),el estudiante,la estudiante,los estudiantes,las estudiantes
boss (m),boss (f),bosses (m),bosses (f),el jefe,la jefa,los jefes,las jefas
manager (m),manager (f),managers (m),managers (f),el gerente,la gerente,los gerentes,las gerentes
client (m),client (f),client (m),client (f),el cliente,la clienta,los clientes,las clientas
shop assistant (m),shop assistant (f),shop assistants (m),shop assistants (f),el dependiente,la dependienta,los dependientes,las dependientas
film star (m),film star (f),film stars (m),film stars (f),la estrella de cine,la estrella de cine,las estrellas de cine,las estrellas de cine
character (m),character (f),characters (m),characters (f),el personaje,la personaje,los personajes,las personajes
person (m),person (f),persons (m),persons (f),la persona,la persona,los personas,las personas
victim (m),victim (f),victims (m),victims (f),el victima,la victima,los víctimas,las victimas
athlete (m),athlete (f),athletes (m),athletes (f),el atleta (el deportista),la atleta (la deportista),los atletas (los deportistas),las atletas (las deportistas)
dentist (m),dentist (f),dentists (m),dentists (f),el dentista,la dentista,los dentistas,las dentistas
guide (m),guide (f),guides (m),guides (f),el guía,la guía,los guías,las guías
